Dataset;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;R2_mean;R2_std;WMSE_mean;WMSE_std;WRMSE_mean;WRMSE_std;WMAE_mean;WMAE_std;WR2_mean;WR2_std;SERA_mean;SERA_std;DWRMSE_mean;DWRMSE_std;DWSERA_mean;DWSERA_std
cpuSm;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'log2'};8.355192401426356;0.49681723280775597;2.8893696131993805;0.08651037026095365;2.0629478001486907;0.04993483511762896;0.97509520225708;0.0024753042813622297;16.07946043891136;3.990044510219712;3.9766048325549574;0.543726283888335;2.504929190318903;0.309607094401085;0.9850054836574893;0.0034968209374248035;3387.349399369882;700.487343963706;3.5618066807655966;0.15581043041338477;9785.784743504919;721.3748546400051
cpuSm;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'sqrt'};8.382021810739285;0.48132019008643945;2.89409067483703;0.08340647830306558;2.0618505923074752;0.040024853864520135;0.9750067765178242;0.0025413171335843497;16.21253466488979;4.146017229351355;3.9916603664258963;0.5569581911243613;2.518577904032404;0.3279208106085248;0.9848745035415526;0.0036877911075807856;3414.605005255298;725.9518041036363;3.5806922859641412;0.15934068982925687;9880.683320449276;737.7101491388177
cpuSm;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'log2'};8.305190508433695;0.5422395926461434;2.880493361246755;0.09397697263495214;2.054135562407766;0.04764246768583426;0.975246549413713;0.002513162196815119;16.045286115656047;4.288494970178821;3.9688734269140915;0.5708958231404038;2.499626388908168;0.3302319601001601;0.9850217724591639;0.003839096589717476;3384.510135257546;782.5292454362899;3.5582197468241334;0.17964486501081625;9753.36434321411;810.1580844780334
cpuSm;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'sqrt'};8.366593166865822;0.4882096639372682;2.891399873446855;0.08432700040340362;2.0567343541246594;0.03850730543402437;0.9750543685147699;0.002519217689570307;16.630334932040746;4.564464994591635;4.037606769627482;0.6037535423398005;2.5358930230637204;0.32708773748945963;0.9844923320202907;0.00408331798649246;3485.398518015926;758.1796890411146;3.589553273748982;0.16832575474314665;9871.743613185481;750.3470104391145
cpuSm;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};37.63928079745754;2.8124916347327718;6.1312774422383445;0.22783454951337107;3.0721662914645402;0.09857255347043344;0.8876096023351785;0.013937839330273646;222.8696491973354;56.06170172834968;14.793724485623708;2.1122302696420716;8.115826410738803;1.5320452027090337;0.7922813484240275;0.04988484275007085;45994.735275221734;5815.59155771724;9.85598514907812;0.4914006083348379;55037.200386860524;4949.963604480995
cpuSm;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.1};37.5177242431687;3.0517311161258887;6.1206803977657795;0.24719697852888206;3.0715073617887403;0.10330878867802651;0.8880676343450755;0.013527971301934722;221.4464969986641;53.83098856288329;14.75530117686398;2.03513149416841;8.10548329296277;1.5076256343033951;0.7936796730715985;0.04716409936709941;45837.954882364094;5972.914663030599;9.83944749072532;0.503517396533115;54859.12478033856;5256.439741180715
cpuSm;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.01};14.430376770726877;1.5117289145509782;3.794084082943887;0.19805370281461182;2.4015650138171285;0.05553714256714071;0.956823176656792;0.006844831222083344;50.76730922012005;15.908039583766435;7.02659620563489;1.244657464292624;4.24148689599379;0.7248212714400502;0.952780974464841;0.01424032795948477;10348.730819154773;1810.1118433723504;5.255075594629438;0.3644254502862186;18603.386369839754;2166.869892374764
cpuSm;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};14.284376155250362;1.3719010025730471;3.77553475496793;0.18170020876773502;2.3982083312080973;0.06306548377538872;0.9572896360477253;0.006309478424869601;49.79679740679667;15.258128612032765;6.964245894503764;1.2000354289603838;4.225193378632667;0.7126812607514201;0.9536672884506553;0.013590953750108811;10190.888374764469;1786.0036577630385;5.219882468147158;0.3360599725724975;18404.38198839709;1926.036010421055
cpuSm;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};11.263985665385658;1.1367821897760633;3.352313306655398;0.16990572355412611;2.2193793381397033;0.059472832045265;0.9662477832175839;0.005544442213284986;28.283291841983743;9.457140496471226;5.23120167822618;1.009851938381371;3.3415202751868263;0.6013793921933046;0.9737181357758985;0.008478410002717651;5697.80612990727;1052.2306909480767;4.326803154362089;0.2803531264632454;13927.394238369783;1534.0923064062233
cpuSm;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};11.171030922351525;1.1953809662628299;3.3380338824449303;0.17814077454876193;2.220817697068343;0.052860465637849664;0.9665284926622955;0.005659556026195466;26.993976835780096;9.542100364820925;5.106251639251287;1.0111440343731892;3.3050820316062848;0.5855658083168442;0.9749000045205133;0.008820786221792404;5443.718712858419;1218.0150419726174;4.2667158966142225;0.3059129129655457;13690.658904035838;1676.8704867714985
