Dataset;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;R2_mean;R2_std;WMSE_mean;WMSE_std;WRMSE_mean;WRMSE_std;WMAE_mean;WMAE_std;WR2_mean;WR2_std;SERA_mean;SERA_std;DWRMSE_mean;DWRMSE_std;DWSERA_mean;DWSERA_std
mortgage;CART;(1.5, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};0.01725625932963907;0.005205839060034883;0.12994543388099286;0.0202880244676394;0.0841575987101703;0.0071489209684042435;0.99820959962502;0.00046007447604247474;0.005051639720580345;0.0013640523244061687;0.0705019363774461;0.009552814954883587;0.05658737327355591;0.008360768678782023;0.9933960193656244;0.0012853111097527589;0.2588463750921187;0.10204479377497669;0.17793305456330824;0.032287233719260705;3.2322712610264785;1.1304102349080378
mortgage;CART;(1.5, 'denseweight', False, 'balance');XGB;{'n_estimators': 100, 'max_depth': 3};0.05061414661274562;0.012387425910932517;0.22334429374448211;0.028508732863304118;0.15424577308599594;0.016578456678847664;0.9947671281263781;0.0010022070050026922;0.017384766332367154;0.003277893904538092;0.1313094429061783;0.012665745261957047;0.10009781464159567;0.011781060468760967;0.9765895511757088;0.006358298032960911;0.8928548826374119;0.3591666040468019;0.29071391908029554;0.04476987057332018;8.773269337833506;2.518186205111462
mortgage;CART;(1.5, 'denseweight', False, 'balance');XGB;{'n_estimators': 100, 'max_depth': 6};0.0342728533760938;0.011839569982250133;0.18275605765754746;0.03114619230455319;0.11184951592478184;0.010480892764545518;0.9963562816778457;0.0014530684761449766;0.008368888930343004;0.003652077606856803;0.089909248196016;0.01791278932959557;0.0640117886919454;0.008324352131759362;0.9889216421184529;0.004501117660935805;0.43423832679638413;0.215085974827113;0.25060197949907637;0.05112783183251485;6.16041395868308;2.3019192148836423
mortgage;CART;(1.5, 'denseweight', False, 'balance');XGB;{'n_estimators': 200, 'max_depth': 3};0.04232938303379409;0.00970196857842168;0.20455096725571567;0.023292460118750514;0.13756749004334462;0.012772172427673542;0.9955702841503307;0.0010027473089360037;0.016161550492340256;0.005252802597878658;0.12555027533130333;0.021178142355880777;0.09080732507755963;0.012938572211279257;0.9787612999974795;0.006449770942302883;0.8136807539165059;0.36366561830563293;0.2648661785052768;0.03383545764077453;7.354406814931406;1.8315554050317056
mortgage;CART;(1.5, 'denseweight', False, 'balance');XGB;{'n_estimators': 200, 'max_depth': 6};0.0318421009980725;0.006206349348422604;0.17766359232281395;0.01756729793380186;0.10985558366071499;0.005593152334732458;0.9966871515573301;0.0005272768634778665;0.011203719140249598;0.0067187308883914654;0.10247376524435957;0.028119430986511203;0.06881742762747758;0.01196267133233188;0.985157453155665;0.008160898165371596;0.5771591997874206;0.40562318906915923;0.2432362336363263;0.03752159966059682;5.817395848800133;1.4379927536169983
mortgage;CART;(1.5, 'denseweight', False, 'extreme');RF;{'n_estimators': 100, 'max_features': 'log2'};0.02948130421041848;0.01607092150743223;0.16662078640781297;0.04370122992498094;0.09146677989898762;0.01602518898341415;0.9969564831433285;0.001560389456797544;0.005868554944846411;0.0031731694759413753;0.073882716675585;0.021474089309371152;0.04932694532145281;0.010695043001431941;0.9924106987055027;0.003619119350614164;0.3065907937333502;0.17605307375450754;0.24057116815949386;0.07185343804939989;5.555534119216814;3.4322844803549444
mortgage;CART;(1.5, 'denseweight', False, 'extreme');RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.026504961105178533;0.008723182074894495;0.16081191674607215;0.02676001448332295;0.091711813651846;0.010841960223675562;0.9972365165629192;0.0008827768960442305;0.0052536095951190185;0.0021773375970616064;0.07107337658796459;0.015081705057533593;0.04870738383704673;0.008285555897035285;0.9930763391794447;0.002800080674172873;0.27692497943565547;0.1322907704109415;0.23089405156659193;0.04840573106838527;5.014427705470874;1.921857205240883
mortgage;CART;(1.5, 'denseweight', False, 'extreme');RF;{'n_estimators': 200, 'max_features': 'log2'};0.024710195100875184;0.006619917863093621;0.15583042079157203;0.021783659951562628;0.08912604437769159;0.009375364578284407;0.9974262645191487;0.0006391763454572154;0.005036881835782599;0.0019177143597084308;0.069660873072707;0.014397054328825511;0.047924746678772154;0.007152925104011047;0.9934455080713419;0.0021492116653465377;0.26546271670420685;0.12213423836186145;0.22208292975929578;0.03638977358803949;4.676305103361677;1.4864969757118462
mortgage;CART;(1.5, 'denseweight', False, 'extreme');RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.02777260675038774;0.011103281204023154;0.16361398714836448;0.03338446012081665;0.08976857621910143;0.010649847731738769;0.9971110712661702;0.0010990313999081197;0.0046130203596052325;0.002012392947209765;0.06632770795270532;0.015503627221205313;0.04545985361937424;0.007974553963675272;0.9939892304995319;0.0023671557525119552;0.24723616948848953;0.11576912489482111;0.23222346819262685;0.05301456531679748;5.349518892106175;2.414278496605738
mortgage;CART;(1.5, 'denseweight', False, 'extreme');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};0.023963157028220557;0.005850593866526889;0.15386842655324046;0.01787811630179964;0.09688966149308352;0.008006815366541825;0.9974980664335706;0.0005632152185182323;0.005442915564269714;0.0008359166097138671;0.07358485258008311;0.005631000303391323;0.057385203071586094;0.004300461067839486;0.9927711650051576;0.0011391272565387696;0.2860579432637723;0.09741224876711872;0.22039571402920563;0.03235918397752549;4.494035535664928;1.2962106028564002
